PROVINCIA,CANTON,LATITUD,LONGITUD
San José,San José,9.9280694,-84.0907246
San José,Escazú,9.920695,-84.14615189999999
San José,Desamparados,9.8969706,-84.0616709
San José,Puriscal,9.722081099999999,-84.3962535
San José,Tarrazú,9.6051515,-84.0378894
San José,Aserrí,9.8641706,-84.0933652
San José,Mora,9.9323988,-84.080052
San José,Goicoechea,9.9546686,-84.02202980000001
San José,Santa Ana,9.9312697,-84.1820735
San José,Alajuelita,9.901608,-84.09947
San José,Vazquez de Coronado,10.0480579,-83.9532571
San José,Acosta,9.8000005,-84.1580225
San José,Tibás,9.964000000000002,-84.0775201
San José,Moravia,10.0101333,-84.01145439999999
San José,Montes de Oca,9.940807699999999,-84.02467329999999
San José,Turrubares,9.702240999999999,-84.54318669999999
San José,Dota,9.6029464,-83.91089680000002
San José,Curridabat,9.914550499999999,-84.0386633
San José,Pérez Zeledón,9.399668199999999,-83.67739279999999
San José,León Cortés Castro,9.9358568,-84.098524
Alajuela,Alajuela,10.0159394,-84.21417009999999
Alajuela,San Ramón,10.0910284,-84.4703933
Alajuela,Grecia,10.0731003,-84.3122803
Alajuela,San Mateo,9.941030099999999,-84.5274616
Alajuela,Atenas,9.9787131,-84.380259
Alajuela,Naranjo,10.0974116,-84.3831166
Alajuela,Palmares,10.060727,-84.4378495
Alajuela,Poás,10.1088609,-84.238417
Alajuela,Orotina,9.9120206,-84.5194688
Alajuela,San Carlos,10.6590277,-84.3542049
Alajuela,Zarcero,10.1864136,-84.39189739999999
Alajuela,Sarchí,10.0898383,-84.34763210000001
Alajuela,Upala,10.8979462,-85.0155499
Alajuela,Los Chiles,10.8889612,-84.6479124
Alajuela,Guatuso,10.7118987,-84.8150781
Alajuela,Río Cuarto,10.3415389,-84.21602279999999
Cartago,Cartago,9.8638091,-83.91619349999999
Cartago,Paraíso,9.839214,-83.8664076
Cartago,La Unión,9.9039514,-83.985008
Cartago,Jiménez,9.8209521,-83.6986568
Cartago,Turrialba,9.9067054,-83.6800512
Cartago,Alvarado,9.9449691,-83.7942551
Cartago,Oreamuno,10.0351735,-83.8579053
Cartago,El Guarco,9.7250952,-83.9214896
Heredia,Heredia,9.9981413,-84.1197643
Heredia,Barva,10.0190909,-84.1237232
Heredia,Santo Domingo,9.988810599999999,-84.0643128
Heredia,Santa Bárbara,10.0371501,-84.15833789999999
Heredia,San Rafael,10.0144716,-84.0986459
Heredia,San Isidro,10.0182399,-84.055129
Heredia,Belén,9.979719099999999,-84.1804384
Heredia,Flores,10.0016198,-84.1593413
Heredia,San Pablo,9.9976754,-84.0933652
Heredia,Sarapiquí,10.4539873,-84.01938609999999
Guanacaste,Liberia,10.6345964,-85.4406747
Guanacaste,Nicoya,10.1445678,-85.4530295
Guanacaste,Santa Cruz,10.2609675,-85.5843632
Guanacaste,Bagaces,10.5251574,-85.254136
Guanacaste,Carrillo,9.868858,-85.48138349999999
Guanacaste,Cañas,10.4274414,-85.09346239999999
Guanacaste,Abangares,10.2662316,-84.981754
Guanacaste,Tilarán,10.4563619,-84.9713512
Guanacaste,Nandayure,9.9903778,-85.2521952
Guanacaste,La Cruz,11.0708272,-85.6306396
Guanacaste,Hojancha,10.057561,-85.41950109999999
Puntarenas,Puntarenas,9.9778439,-84.82942109999999
Puntarenas,Esparza,9.9906919,-84.667374
Puntarenas,Buenos Aires,9.1672952,-83.3308421
Puntarenas,Montes de Oro,10.1055994,-84.7106567
Puntarenas,Osa,8.560906,-83.46435509999999
Puntarenas,Quepos,9.431868099999999,-84.16190759999999
Puntarenas,Golfito,8.6040618,-83.1133792
Puntarenas,Coto Brus,8.9019855,-82.95015579999999
Puntarenas,Parrita,9.518638100000002,-84.33053939999999
Puntarenas,Corredores,8.551894599999999,-82.95015579999999
Puntarenas,Garabito,9.7035606,-84.6269824
Puntarenas,Monteverde,10.2973324,-84.8255097
Limón,Limón,9.9913106,-83.04150779999999
Limón,Pococí,10.5125832,-83.7199136
Limón,Siquirres,10.0981388,-83.5096859
Limón,Talamanca,9.4334755,-83.12200740000002
Limón,Matina,10.0758805,-83.2916504
Limón,Guácimo,10.2127003,-83.6866091
